Well Name,Well Number,API 14,Chosen ID,Abstract,API 10,API 12,Basin,Block,Choke Size,Completion End Date,Completion Start Date,Country,County/Parish,Current Operator,Current Operator Alias,Drill Start Date,Elevation,Elevation Type,Field,Additive Vol (1st Job),Total Fluid/Perf LL (1st Job),Total Fluid (1st Job),Frac Vendor (1st Job),First Prod Date,Total Prop (1st Job),Total Prop/Fluid (1st Job),Total Prop/Perf LL (1st Job),First Test Flow TBG Press,First Test Gas Vol,First Test Gor,First Test Oil Vol,First Test Water Vol,Treatment Type (1st Job),Ground Elevation,Has Daily Data,Has Monthly Data,Heel Latitude,Heel Longitude,Hz Well Spacing Any Zone,Hz Well Spacing Same Zone,Landing Zone,Last Prod Date Monthly,Lateral Length,Lease Name,Lease Number,Lower Perforation,Measured Depth,Oil API Gravity,Parent Child Any Zone,Parent Child Same Zone,Perf Lateral Length,Permit Date,Play,Previous Operator,Previous Operator Alias,Prop Type,Range,Section,Spud Date,State,Status,Surface Latitude,Surface Longitude,Survey,Target Formation,Toe Latitude,Toe Longitude,Additive Vol (All Jobs),Total Fluid/Perf LL (All Jobs),Total Fluid (All Jobs),Total Prop (All Jobs),Total Prop/Fluid (All Jobs),Total Prop/Perf LL (All Jobs),Township,True Vertical Depth,Vt Well Spacing Any Zone,Well Type,Cum BOE,Cum Oil,Cum Gas,Cum GOR,Cum Water,Cum BOE/Perf LL,Cum Gas/Perf LL,Cum Oil/Perf LL,Cum Water/Perf LL,First 12 BOE,First 12 BOE/Perf LL,First 12 Gas,First 12 Gas/Perf LL,First 12 GOR,First 12 Oil,First 12 Oil/Perf LL,First 12 Water,First 12 Water/Perf LL,First 6 BOE,First 6 BOE/Perf LL,First 6 Gas,First 6 Gas/Perf LL,First 6 GOR,First 6 Oil,First 6 Oil/Perf LL,First 6 Water,First 6 Water/Perf LL,Last 12 BOE,Last 12 BOE/Perf LL,Last 12 Gas,Last 12 Gas/Perf LL,Last 12 GOR,Last 12 Oil,Last 12 Oil/Perf LL,Last 12 Water,Last 12 Water/Perf LL,Last Month BOE,Last Month BOE/Perf LL,Last Month Gas,Last Month Gas/Perf LL,Last Month GOR,Last Month Oil,Last Month Oil/Perf LL,Last Month Water,Last Month Water/Perf LL,Months Produced,Created At,Updated At
STATE 26 COM #005,005,30025286120000,153164e1-b80d-4a51-aeff-21f33ea47579,026,3002528612,300252861200,Permian Basin,014S,,,07/28/2021 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,0,Ground,TULK,,,,,01/01/1993 00:00:00,,,,,,,,,,0,false,true,,,,,PENNSYLVANIAN,05/01/2021 00:00:00,,STATE 26 COM,,9881,10000,,,,275,01/13/2006 00:00:00,PENNSYLVANIAN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,032E,,NM,Shut In,33.0702095,-103.6904449,,PENNSYLVANIAN,33.0702095,-103.6904449,,,,,,,,10000,,VOLATILE OIL,76993,44539,194724,4.372,59927,,,,,5194,,11988,,3.7509,3196,,1412,,2485,,6135,,4.1934,1463,,696,,217,,0,,0,217,,4059,,11,,0,,0,11,,227,,334,02/11/2013 17:56:28,07/10/2023 11:01:06
HAHN STATE #001,001,30025385980000,c1c01d2e-9c5a-4ddb-8df3-27ffa7f65d39,015,3002538598,300253859800,Permian Basin,014S,,,11/21/2007 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,11/21/2007 00:00:00,4200,Ground,SAUNDERS,,,,,12/01/2008 00:00:00,,,,,30,,15,50,,4200,false,true,,,,,PERMO UPPER PENN,05/01/2021 00:00:00,4489,HAHN STATE,,13950,13950,,,,4489,02/07/2008 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,11/21/2007 00:00:00,NM,Shut In,33.0998230,-103.5947876,,PERMO UPPER PENN,33.0998116,-103.5947647,,,,,,,,13950,,VOLATILE OIL,32358,20447,71466,3.4952,483687,7.208286923591,15.920249498774783,4.554912007128537,107.7493873914012,5602,1.24793940744041,10780,2.4014257072844734,2.8331,3805,0.8476275339719314,22301,4.967921586099354,3155,0.7028291378926265,6103,1.3595455558030742,2.8545,2138,0.4762753397193139,10743,2.393183337046113,365,0.08130986856760972,647,0.14413009578970817,2.5175,257,0.057251058142125194,10516,2.3426152817999553,2,0.00044553352639786146,0,0,0,2,0.00044553352639786146,798,0.1777678770327467,139,02/11/2013 17:56:28,02/07/2023 15:17:09
NEW MEXICO BG STATE NCT 1 #007,007,30025293520000,13c21d78-d4ea-4945-ac5f-2994526bda5e,014,3002529352,300252935200,Permian Basin,014S,,,10/01/1985 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,08/07/1985 00:00:00,4188,Ground,SAUNDERS,,,,,01/01/1993 00:00:00,,,,,,,,,,4188,false,true,,,,,PERMO UPPER PENN,11/01/1993 00:00:00,,NEW MEXICO BG STATE NCT 1,,9988,10100,,,,174,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,08/07/1985 00:00:00,NM,Shut In,33.1027832,-103.5786209,,PERMO UPPER PENN,33.1027603,-103.5786057,,,,,,,,10100,,VOLATILE OIL,2127.0000076293945,1500,3762,2.508,8209,,,,,,,,,,,,,,1389,,2297,,2.2833,1006,,4317,,,,,,,,,,,0,,0,,0,0,,810,,11,02/11/2013 17:56:28,07/10/2023 12:15:35
NEW MEXICO AN STATE #006,006,30025011410000,fdac5aae-e8a0-43e3-8a4e-3e6c4b112443,022,3002501141,300250114100,Permian Basin,014S,,,02/04/2004 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,10/24/1958 00:00:00,0,Ground,SAUNDERS,,,,,06/01/2006 00:00:00,,,,,62,,7,24,,0,false,true,,,,,PERMO UPPER PENN,06/01/2021 00:00:00,,NEW MEXICO AN STATE,,9880,11000,,,,150,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,10/24/1958 00:00:00,NM,Shut In,33.0846596,-103.6001587,,PERMO UPPER PENN,33.0846481,-103.6001663,,,,,,,,11000,,CONDENSATE,13333.83320760727,9598,22415,2.3354,142996,,,,,3250,,9801,,6.0612,1617,,9468,,2076,,6766,,7.1371,948,,4554,,8,,0,,0,8,,11916,,0,,0,,0,0,,85,,177,02/11/2013 17:56:28,02/08/2023 06:17:45
NEW MEXICO AN STATE #002,002,30025011370000,6f5f156e-1451-49e5-b65f-47c12e824749,022,3002501137,300250113700,Permian Basin,014S,,,07/06/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4215,Ground,SAUNDERS,,,,,,,,,,,,,,,4215,false,true,,,,,PERMO UPPER PENN,,,NEW MEXICO AN STATE,,9838,10050,,,,660,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.0882874,-103.6001740,,PERMO UPPER PENN,33.0882874,-103.6001740,,,,,,,,10050,,OIL WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/11/2013 17:56:28,07/10/2023 09:44:15
FEDERAL 6 #002,002,30025280740000,dacd86d3-849f-4982-adbd-4d32341717b1,006,3002528074,300252807400,Permian Basin,014S,,,05/10/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4276,Ground,BAUM,,,,,01/01/1993 00:00:00,,,,,8,,3,4,,4276,false,true,,,,,PENNSYLVANIAN,06/01/2015 00:00:00,,FEDERAL 6,,9968,10054,,,,138,01/13/2006 00:00:00,PENNSYLVANIAN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.1318245,-103.6518860,,PENNSYLVANIAN,33.1318245,-103.6518860,,,,,,,,10054,,VOLATILE OIL,67086,42464,147708,3.4784,243911,,,,,10460,,24003,,3.7156,6460,,4388,,5259,,11739,,3.5551,3302,,2365,,729,,3468,,23.12,150,,13035,,10,,60,,60,0,,0,,204,02/11/2013 17:56:28,07/10/2023 09:16:18
FEDERAL 20 #005,005,30025282380000,3a18b8f6-f9a0-4ff5-b360-4e8291634a34,020,3002528238,300252823800,Permian Basin,013S,,,02/06/2013 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4269,Ground,SWD,,,,,01/01/1993 00:00:00,,,,,,,,,,4269,false,true,,,,,ABO BOUGH C,06/01/2002 00:00:00,,FEDERAL 20,,8913,9878,,,,23,01/13/2006 00:00:00,ABO,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,013S,033E,,NM,Plugged & Abandoned,33.1753769,-103.6388321,,ABO,33.1753769,-103.6388321,,,,,,,,9878,,WATER DISPOSAL,11442,8746,16195,1.8517,2931,,,,,1999,,4670,,3.8247,1221,,145,,1209,,3422,,5.3552,639,,70,,652,,0,,0,652,,455,,51,,0,,0,51,,32,,111,02/11/2013 17:56:28,07/10/2023 08:59:44
NEW MEXICO AT STATE #015,015,30025289130000,d97ed2b3-194f-41ee-94b9-55c199e8254e,015,3002528913,300252891300,Permian Basin,014S,,,04/26/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,4208,Ground,SAUNDERS,,,,,01/01/1993 00:00:00,,,,,,,,,,4208,false,true,,,,,PERMO UPPER PENN,05/01/2001 00:00:00,,NEW MEXICO AT STATE,,,10100,,,,,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,,NM,Plugged & Abandoned,33.1100426,-103.6044617,,PERMO UPPER PENN,33.1100426,-103.6044617,,,,,,,,10100,,VOLATILE OIL,23973,14459,57086,3.9481,78266,,,,,5865,,14178,,4.0474,3503,,1957,,3393,,8121,,3.9828,2039,,1261,,2483,,7346,,5.8394,1258,,36328,,42,,118,,5.3636,22,,1325,,83,02/11/2013 17:56:28,07/10/2023 10:42:13
NEW MEXICO AT STATE #012,012,30025283860000,8c7fdfa3-0484-40ef-9fbd-602007d5fa8a,015,3002528386,300252838600,Permian Basin,014S,,,07/25/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,11/01/1983 00:00:00,4200,Ground,SAUNDERS,,,,,01/01/1993 00:00:00,,,,,,,,,,4200,false,true,,,,,PERMO UPPER PENN,03/01/2001 00:00:00,,NEW MEXICO AT STATE,,9898,10019,,,,130,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,11/01/1983 00:00:00,NM,Plugged & Abandoned,33.1064110,-103.5990829,,PERMO UPPER PENN,33.1064110,-103.5990829,,,,,,,,10019,,VOLATILE OIL,9641,7143,14979,2.097,85795,,,,,940,,2191,,3.8104,575,,14542,,466,,1511,,7.0607,214,,7828,,2037,,2149,,1.2799,1679,,29631,,264,,722,,5.0139,144,,2634,,61,02/11/2013 17:56:28,07/10/2023 02:34:14
NEW MEXICO BG STATE NCT 1 #004,004,30025220200000,374a03d9-1aaa-4e1b-84a1-60a772ee6629,014,3002522020,300252202000,Permian Basin,014S,,,08/02/2016 00:00:00,USA,LEA,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,03/14/1967 00:00:00,4212,Ground,SAUNDERS,,,,,01/01/1993 00:00:00,,,,,,,,,,4212,false,true,,,,,PERMO UPPER PENN,01/01/2001 00:00:00,,NEW MEXICO BG STATE NCT 1,,,10015,,,,,01/13/2006 00:00:00,PERMO UPPER PENN,"CROWNQUEST OPERATING, LLC",CROWNQUEST OPERATING,,014S,033E,03/14/1967 00:00:00,NM,Plugged & Abandoned,33.1064072,-103.5915451,,PERMO UPPER PENN,33.1064072,-103.5915451,,,,,,,,10015,,BLACK OIL,2821,2278,3257,1.4298,20744,,,,,2156,,2423,,1.383,1752,,16791,,946,,1464,,2.0855,702,,7488,,1559,,1120,,0.8163,1372,,16125,,76,,0,,0,76,,1191,,17,02/11/2013 17:56:28,07/10/2023 03:14:31
